Have a Nice Day10,WiFire1,CLBW-Mobitel-HUAWEI-CC008,UoM_Wireless11,No_of_P
-54,-53,-57,-100,0
-60,-41,-67,-100,1
-61,-46,-63,-100,1
-54,-53,-58,-90,0
-55,-54,-56,-77,0
-59,-39,-70,-100,1
-42,-59,-58,-100,5
-61,-40,-59,-81,1
-61,-47,-67,-83,1
-61,-61,-56,-100,5
-51,-54,-58,-100,1
-56,-61,-59,-100,5
-52,-53,-57,-77,0
-51,-49,-73,-79,1
-62,-40,-65,-100,1
-49,-60,-67,-100,5
-42,-55,-62,-100,1
-62,-40,-69,-81,1
-53,-53,-58,-100,0
-42,-54,-64,-100,0
-58,-54,-59,-100,1
-53,-55,-56,-100,0
-62,-40,-71,-100,1
-53,-54,-57,-100,0
-56,-40,-67,-82,1
-41,-59,-68,-100,5
-53,-52,-62,-100,0
-52,-51,-61,-93,0
-48,-60,-66,-100,5
-54,-53,-57,-100,0
-67,-39,-70,-82,1
-56,-56,-57,-80,0
-53,-52,-57,-88,0
-54,-54,-60,-79,0
-52,-52,-55,-100,0
-52,-47,-60,-100,1
-56,-54,-58,-100,0
-56,-51,-56,-100,0
-56,-59,-63,-100,5
-61,-48,-58,-82,1
-61,-41,-61,-100,1
-52,-54,-57,-100,0
-52,-51,-58,-100,0
-61,-39,-71,-100,1
-49,-61,-66,-100,5
-54,-51,-59,-87,0
-52,-53,-59,-100,0
-52,-51,-64,-88,0
-38,-62,-54,-100,5
-40,-52,-64,-89,1
-59,-43,-69,-100,1
-40,-59,-65,-100,5
-50,-52,-62,-100,1
-52,-43,-58,-92,0
-53,-56,-53,-100,0
-51,-54,-61,-100,1
-51,-52,-56,-100,0
-59,-53,-64,-84,1
-51,-56,-63,-100,1
-52,-56,-60,-100,1
-52,-58,-63,-100,5
-51,-40,-71,-80,1
-41,-59,-61,-100,5
-36,-59,-60,-100,5
-60,-49,-60,-82,1
-54,-51,-59,-93,0
-51,-60,-65,-100,5
-55,-55,-55,-100,0
-52,-40,-71,-80,1
-53,-52,-61,-100,0
-36,-60,-67,-100,5
-52,-55,-57,-78,0
-50,-54,-65,-100,1
-57,-54,-58,-100,0
-48,-61,-59,-100,5
-55,-54,-58,-77,0
-63,-48,-69,-80,1
-52,-61,-64,-100,5
-61,-38,-68,-80,1
-41,-71,-59,-100,1
-55,-54,-54,-75,0
-42,-54,-56,-89,1
-56,-40,-61,-82,1
-51,-53,-65,-91,0
-49,-60,-56,-100,5
-50,-59,-60,-100,5
-40,-61,-67,-100,5
-53,-53,-57,-75,0
-52,-52,-59,-100,0
-52,-51,-57,-100,0
-60,-41,-75,-100,1
-52,-62,-61,-100,5
-53,-51,-62,-100,0
-50,-58,-73,-100,5
-54,-54,-61,-100,0
-53,-53,-64,-100,0
-53,-53,-59,-100,0
-57,-59,-59,-100,5
-54,-52,-58,-90,0
-52,-53,-55,-100,0
-36,-61,-59,-100,5
-50,-61,-56,-100,5
-42,-52,-62,-100,1
-50,-60,-67,-100,5
-41,-53,-63,-100,1
-57,-39,-73,-100,1
-53,-55,-57,-74,0
-59,-39,-60,-81,1
-52,-52,-58,-100,0
-42,-54,-61,-100,1
-52,-59,-59,-100,5
-61,-40,-71,-80,1
-65,-39,-62,-100,1
-54,-59,-67,-100,5
-59,-41,-66,-80,1
-53,-54,-53,-100,0
-59,-40,-61,-86,1
-59,-60,-71,-100,5
-42,-53,-60,-100,1
-39,-60,-65,-100,5
-60,-49,-72,-100,1
-50,-60,-57,-100,5
-51,-50,-55,-100,0
-49,-60,-64,-100,5
-34,-59,-65,-90,5
-56,-53,-62,-100,0
-52,-51,-59,-90,0
-41,-54,-58,-100,1
-44,-52,-58,-100,0
-59,-39,-71,-81,1
-50,-59,-66,-100,5
-56,-59,-58,-100,5
-43,-53,-62,-100,1
-43,-62,-67,-100,5
-54,-50,-64,-100,0
-52,-51,-59,-100,0
-55,-52,-51,-100,0
-52,-38,-60,-100,1
-41,-61,-65,-100,5
-60,-39,-70,-100,1
-36,-59,-56,-100,5
-59,-40,-68,-100,1
-50,-58,-57,-100,5
-41,-54,-62,-90,1
-53,-54,-57,-76,0
-63,-40,-62,-100,1
-40,-58,-54,-100,5
-54,-52,-57,-92,0
-43,-52,-58,-100,0
-40,-54,-55,-91,1
-41,-51,-57,-91,1
-51,-50,-67,-100,0
-53,-52,-60,-100,0
-50,-52,-58,-94,1
-61,-50,-70,-82,1
-40,-53,-65,-100,1
-55,-56,-57,-79,0
-41,-58,-59,-100,5
-59,-59,-65,-100,5
-60,-40,-69,-100,1
-51,-40,-67,-81,1
-63,-40,-67,-100,1
-60,-40,-66,-100,1
-52,-53,-59,-80,0
-54,-54,-55,-100,0
-59,-38,-70,-100,1
-53,-52,-63,-100,0
-52,-52,-64,-100,0
-42,-58,-58,-100,5
-54,-53,-61,-100,0
-51,-38,-67,-100,1
-54,-53,-56,-100,0
-53,-58,-63,-100,5
-51,-51,-57,-100,0
-55,-60,-59,-100,5
-51,-40,-71,-80,1
-52,-48,-59,-81,1
-54,-53,-58,-100,0
-61,-38,-65,-82,1
-53,-53,-60,-93,0
-52,-52,-57,-86,0
-41,-54,-62,-100,1
-41,-60,-66,-100,5
-54,-54,-61,-100,0
-39,-58,-57,-100,5
-42,-59,-58,-100,5
-56,-38,-69,-82,1
-52,-52,-60,-100,0
-39,-61,-69,-100,5
-52,-50,-59,-100,0
-51,-43,-58,-100,0
-53,-51,-57,-88,0
-55,-59,-69,-100,5
-50,-59,-67,-100,5
-43,-51,-58,-100,0
-52,-54,-55,-100,0
-53,-52,-59,-90,0
-53,-55,-55,-78,0
-53,-55,-60,-100,0
-59,-39,-69,-80,1
-49,-61,-62,-100,5
-53,-54,-56,-100,0
-52,-59,-66,-100,5
-42,-58,-54,-100,5
-52,-52,-70,-100,1
-50,-54,-58,-100,1
-55,-47,-70,-81,1
-52,-51,-55,-89,0
-53,-60,-65,-100,5
-57,-61,-71,-100,5
-55,-55,-59,-100,0
-39,-60,-65,-100,5
-55,-59,-66,-100,5
-42,-51,-63,-100,1
-41,-53,-64,-100,1
-52,-57,-66,-100,5
-54,-55,-56,-79,0
-51,-59,-57,-100,5
-61,-40,-69,-100,1
-59,-49,-71,-81,1
-64,-59,-58,-90,5
-51,-40,-73,-80,1
-38,-53,-56,-100,1
-56,-55,-58,-100,0
-42,-53,-61,-100,1
-40,-59,-60,-100,5
-40,-58,-58,-100,5
-39,-60,-71,-94,5
-49,-58,-58,-100,5
-59,-47,-68,-100,1
-54,-53,-63,-100,0
-65,-53,-62,-100,1
-62,-47,-69,-79,1
-38,-62,-56,-100,5
-44,-51,-58,-100,0
-64,-61,-58,-100,5
-53,-55,-56,-100,0
-61,-40,-60,-100,1
-49,-53,-59,-100,1
-37,-52,-63,-100,1
-40,-58,-54,-100,5
-39,-61,-63,-100,5
-53,-52,-55,-89,0
-51,-52,-60,-100,0
-54,-54,-57,-100,0
-52,-52,-56,-100,0
-42,-62,-64,-100,5
-62,-40,-68,-100,1
-53,-51,-66,-100,0
-44,-53,-62,-100,1
-50,-58,-60,-100,5
-42,-72,-64,-89,1
-53,-54,-64,-100,1
-53,-52,-58,-86,0
-50,-58,-66,-100,5
-53,-52,-58,-100,0
-53,-53,-55,-78,0
-61,-48,-71,-82,1
-53,-53,-58,-78,0
-59,-48,-70,-82,1
-41,-60,-54,-100,5
-54,-54,-57,-100,0
-39,-60,-59,-100,5
-40,-60,-54,-100,5
-39,-59,-57,-100,5
-53,-53,-65,-100,0
-50,-57,-57,-100,5
-59,-41,-69,-100,1
-56,-59,-63,-100,5
-61,-53,-61,-85,1
-53,-54,-57,-79,0
-52,-51,-71,-80,1
-40,-59,-66,-88,5
-42,-59,-67,-100,5
-53,-53,-58,-90,0
-41,-58,-60,-100,5
-55,-54,-57,-100,0
-52,-55,-59,-100,0
-51,-53,-58,-91,1
-65,-40,-70,-100,1
-58,-53,-63,-100,1
-54,-55,-57,-77,0
-42,-59,-58,-100,5
-53,-54,-57,-78,0
-76,-48,-70,-79,1
-53,-53,-64,-100,0
-52,-52,-59,-92,0
-41,-54,-62,-100,1
-48,-58,-59,-100,5
-52,-52,-60,-100,0
-55,-59,-60,-100,5
-42,-54,-66,-100,1
-51,-59,-60,-100,5
-54,-54,-56,-77,0
-61,-41,-73,-100,1
-55,-51,-59,-100,1
-59,-39,-69,-81,1
-50,-59,-58,-100,5
-41,-59,-69,-100,5
-55,-56,-61,-100,0
-44,-53,-59,-100,0
-40,-59,-58,-100,5
-49,-58,-59,-100,5
-61,-38,-61,-79,1
-55,-55,-56,-84,0
-55,-53,-57,-100,0
-53,-58,-58,-100,5
-38,-59,-67,-100,5
-54,-55,-57,-79,0
-52,-53,-59,-90,1
-39,-58,-59,-100,5
-40,-54,-57,-100,1
-62,-40,-63,-100,1
-56,-53,-57,-100,0
-56,-60,-68,-100,5
-53,-51,-59,-100,0
-41,-55,-61,-89,1
-52,-57,-58,-100,5
-51,-52,-64,-91,0
-41,-59,-60,-100,5
-39,-52,-63,-100,1
-50,-58,-57,-100,5
-51,-54,-56,-100,0
-57,-59,-67,-100,5
-40,-53,-63,-100,1
-57,-60,-63,-100,5
-52,-51,-58,-100,0
-53,-53,-64,-100,0
-41,-59,-56,-100,5
-52,-51,-56,-89,0
-39,-62,-66,-100,5
-53,-53,-55,-92,0
-52,-51,-60,-87,0
-41,-53,-57,-92,1
-52,-54,-55,-100,0
-39,-61,-57,-100,5
-52,-52,-57,-96,0
-41,-54,-60,-100,1
-53,-52,-63,-100,0
-52,-51,-59,-100,0
-53,-52,-55,-92,0
-39,-59,-64,-100,5
-40,-59,-63,-100,5
-38,-58,-68,-100,5
-53,-53,-59,-90,0
-50,-60,-59,-100,5
-47,-70,-55,-86,1
-52,-50,-59,-100,0
-54,-54,-61,-100,0
-40,-58,-65,-100,5
-52,-51,-64,-100,0
-51,-52,-59,-100,0
-52,-72,-68,-100,5
-52,-58,-65,-100,5
-58,-49,-69,-100,1
-39,-60,-65,-100,5
-52,-62,-58,-88,5
-60,-39,-69,-100,1
-50,-53,-64,-89,1
-57,-61,-58,-100,5
-49,-58,-58,-100,5
-53,-53,-57,-79,0
-38,-58,-66,-100,5
-42,-54,-58,-100,1
-66,-53,-63,-100,1
-53,-52,-63,-91,0
-53,-53,-59,-100,0
-60,-40,-62,-100,1
-38,-60,-67,-100,5
-59,-41,-72,-100,1
-49,-60,-66,-100,5
-53,-52,-60,-100,0
-63,-47,-69,-79,1
-55,-54,-63,-100,0
-53,-52,-60,-100,0
-51,-41,-68,-100,1
-54,-58,-60,-100,5
-59,-40,-68,-78,1
-59,-39,-71,-84,1
-51,-58,-57,-100,5
-51,-39,-68,-77,1
-53,-53,-56,-78,0
-61,-49,-69,-100,1
-54,-51,-60,-100,0
-49,-62,-65,-100,5
-40,-58,-61,-100,5
-62,-42,-70,-100,1
-44,-54,-58,-100,0
-53,-61,-67,-100,5
-41,-57,-65,-100,5
-53,-53,-64,-79,1
-57,-57,-65,-100,5
-39,-57,-63,-100,5
-49,-58,-60,-100,5
-41,-60,-59,-100,5
-53,-53,-57,-86,0
-59,-40,-65,-82,1
-50,-60,-59,-100,5
-64,-71,-59,-100,5
-51,-55,-60,-100,1
-53,-54,-55,-100,0
-41,-44,-60,-100,1
-54,-54,-57,-100,0
-39,-58,-58,-100,5
-42,-53,-64,-100,1
-41,-51,-55,-100,1
-60,-41,-63,-83,1
-42,-60,-57,-100,5
-54,-55,-60,-88,1
-62,-49,-65,-100,1
-51,-53,-56,-100,0
-50,-54,-62,-85,1
-58,-61,-57,-100,5
-51,-48,-68,-87,1
-41,-59,-63,-100,5
-56,-59,-65,-100,5
-53,-51,-63,-88,0
-52,-61,-59,-100,5
-52,-53,-63,-100,0
-52,-50,-60,-100,1
-55,-54,-56,-77,0
-53,-59,-62,-100,5
-54,-55,-64,-100,0
-52,-53,-55,-100,0
-53,-52,-62,-100,0
-49,-63,-62,-100,5
-42,-54,-64,-100,1
-58,-48,-66,-81,1
-62,-49,-69,-100,1
-54,-41,-63,-100,1
-44,-44,-58,-100,0
-39,-58,-59,-100,5
-53,-52,-64,-89,0
-39,-58,-64,-100,5
-54,-61,-64,-100,5
-52,-51,-57,-100,0
-56,-60,-65,-100,5
-64,-48,-71,-84,1
-60,-49,-71,-82,1
-50,-58,-57,-100,5
-52,-52,-60,-100,0
-52,-71,-60,-100,5
-61,-42,-67,-100,1
-51,-58,-64,-100,5
-53,-53,-57,-100,0
-62,-39,-70,-84,1
-62,-41,-69,-81,1
-52,-53,-63,-100,0
-58,-40,-66,-82,1
-39,-59,-60,-100,5
-55,-53,-57,-100,0
-54,-55,-62,-100,0
-51,-47,-60,-86,1
-50,-60,-65,-100,5
-52,-53,-61,-89,0
-42,-51,-58,-100,0
-41,-53,-62,-87,1
-56,-51,-63,-100,0
-54,-40,-71,-100,1
-53,-53,-64,-100,0
-41,-60,-67,-100,5
-53,-52,-59,-89,0
-43,-53,-59,-91,0
-53,-54,-62,-100,0
-53,-52,-55,-100,0
-62,-39,-59,-81,1
-52,-51,-61,-100,1
-62,-39,-71,-100,1
-41,-60,-67,-100,5
-53,-53,-55,-100,0
-40,-61,-61,-100,5
-63,-49,-61,-82,1
-41,-62,-59,-100,5
-39,-60,-64,-100,5
-39,-60,-58,-100,5
-41,-54,-56,-100,1
-63,-39,-69,-80,1
-51,-60,-58,-100,5
-42,-53,-64,-89,1
-60,-38,-68,-79,1
-53,-54,-56,-78,0
-50,-59,-59,-100,5
-51,-51,-61,-100,0
-57,-54,-57,-79,0
-60,-47,-67,-81,1
-51,-40,-73,-100,1
-45,-51,-64,-100,0
-57,-60,-59,-100,5
-60,-40,-70,-83,1
-57,-60,-59,-100,5
-57,-41,-67,-90,1
-61,-48,-72,-82,1
-40,-60,-56,-100,5
-58,-59,-58,-100,5
-40,-59,-67,-100,5
-61,-52,-67,-100,1
-41,-54,-58,-100,1
-61,-39,-69,-81,1
-55,-54,-59,-100,0
-55,-53,-58,-100,0
-58,-39,-69,-100,1
-51,-51,-54,-91,0
-61,-39,-72,-100,1
-61,-47,-71,-81,1
-53,-52,-62,-100,0
-55,-53,-60,-93,1
-54,-54,-57,-77,0
-53,-53,-58,-100,0
-54,-57,-63,-91,5
-52,-54,-58,-100,0
-50,-61,-57,-100,5
-58,-40,-60,-80,1
-57,-40,-69,-100,1
-53,-54,-56,-77,0
-40,-55,-59,-100,1
-51,-58,-57,-100,5
-50,-59,-56,-100,5
-62,-38,-69,-100,1
-51,-53,-58,-90,1
-49,-58,-66,-100,5
-48,-51,-57,-86,1
-49,-58,-58,-100,5
-52,-39,-69,-81,1
-50,-58,-61,-100,5
-53,-54,-57,-100,0
-53,-51,-60,-100,0
-61,-49,-69,-100,1
-59,-48,-61,-81,1
-50,-60,-61,-100,5
-56,-58,-65,-100,5
-52,-54,-59,-100,0
-60,-49,-66,-75,1
-40,-52,-60,-100,1
-54,-38,-67,-82,1
-51,-58,-68,-100,5
-60,-47,-66,-100,1
-60,-39,-70,-100,1
-54,-52,-59,-92,0
-58,-61,-59,-100,5
-54,-52,-56,-100,0
-49,-59,-65,-100,5
-62,-39,-69,-100,1
-62,-39,-67,-100,1
-60,-52,-59,-100,1
-40,-59,-59,-100,5
-36,-61,-65,-92,5
-39,-59,-63,-100,5
-41,-58,-59,-100,5
-38,-58,-62,-100,5
-40,-58,-67,-100,5
-53,-52,-61,-100,0
-59,-40,-66,-100,1
-55,-52,-61,-89,0
-41,-60,-58,-100,5
-52,-51,-58,-100,0
-53,-53,-56,-100,0
-63,-40,-67,-100,1
-54,-54,-57,-100,0
-52,-52,-59,-100,0
-50,-59,-60,-100,5
-43,-62,-65,-100,5
-38,-59,-67,-100,5
-54,-53,-57,-100,0
-56,-60,-54,-100,5
-58,-41,-67,-81,1
-54,-52,-58,-100,0
-55,-53,-58,-100,0
-52,-53,-65,-100,1
-43,-51,-67,-100,0
-43,-55,-63,-100,1
-39,-60,-59,-100,5
-63,-46,-71,-100,1
-52,-54,-58,-100,0
-53,-55,-58,-100,0
-53,-54,-56,-78,0
-53,-53,-58,-100,0
-55,-52,-57,-90,0
-49,-59,-57,-100,5
-40,-54,-57,-90,1
-41,-61,-66,-92,5
-55,-51,-57,-100,0
-53,-54,-55,-77,0
-65,-40,-61,-100,1
-50,-53,-59,-100,1
-45,-50,-58,-92,0
-53,-54,-57,-79,0
-39,-58,-54,-100,5
-50,-63,-65,-100,5
-40,-58,-65,-100,5
-58,-61,-59,-100,5
-52,-41,-69,-81,1
-42,-61,-58,-100,5
-50,-52,-57,-90,0
-59,-40,-68,-82,1
-50,-59,-56,-92,5
-52,-53,-55,-100,0
-63,-40,-70,-100,1
-48,-60,-59,-100,5
-55,-54,-57,-77,0
-50,-61,-67,-100,5
-55,-53,-57,-100,0
-55,-52,-58,-77,0
-54,-52,-60,-100,0
-42,-61,-58,-100,5
-51,-47,-61,-82,1
-52,-42,-69,-100,1
-53,-53,-63,-100,0
-53,-53,-55,-100,0
-50,-50,-59,-100,0
-62,-40,-72,-80,1
-60,-38,-59,-100,1
-61,-38,-68,-83,1
-47,-50,-61,-89,1
-59,-39,-70,-82,1
-54,-52,-66,-100,0
-51,-52,-55,-100,0
-38,-61,-57,-100,5
-52,-54,-57,-100,0
-50,-62,-57,-100,5
-49,-57,-56,-100,5
-53,-53,-59,-100,0
-53,-51,-60,-94,0
-41,-59,-65,-100,5
-52,-58,-68,-100,5
-52,-51,-61,-92,0
-41,-71,-58,-100,5
-54,-51,-58,-90,0
-51,-52,-63,-100,1
-43,-52,-58,-100,1
-51,-57,-65,-100,5
-61,-40,-71,-100,1
-53,-51,-58,-100,0
-52,-52,-63,-100,0
-62,-39,-73,-100,1
-56,-41,-68,-82,1
-59,-39,-63,-81,1
-50,-58,-57,-100,5
-52,-49,-67,-81,1
-59,-39,-65,-79,1
-52,-40,-73,-100,1
-56,-60,-57,-100,5
-59,-48,-71,-81,1
-50,-61,-66,-100,5
-61,-39,-71,-82,1
-52,-54,-59,-100,0
-35,-60,-58,-100,5
-52,-59,-65,-100,5
